Quantity,Article Number,Designator,Value,Manufacturer,Manufacturer Order Number,Combined Parameters,Fitted,Part Type,PackageReference,SheetNumber,Supplier 1,Supplier 2,Supplier 3,Supplier Part Number 1,Supplier Part Number 2,Supplier Part Number 3
"1","648079","U540","HEF4043BT,653","Nexperia","HEF4043BT,653","- Digital;Vdc min/max:3V/15V;Iout:2.4mA;Fmax:-","Fitted","Integrated Circuit","SO-16","6","Farnell","DigiKey","Mouser","","1727-1799-1-ND","771-HEF4043BT653"
"1","648286","U570","74HC4002PW,118","Nexperia","74HC4002PW,118","Power Electronics Digital;Vdc min/max:2V/6V;Iout:25mA;Fmax:-","Fitted","Integrated Circuit","TSSOP14 (SOT402-1)","6","Farnell","DigiKey","Mouser","3441850","1727-6600-1-ND","771-HC4002PW118"
"1","644045","U600","MAX4073FAUT+T","Maxim Integrated Products","MAX4073FAUT+T","Res.:-;Fmax:-","Fitted","Analog Parts","SOT23-6","7","Farnell","DigiKey","Mouser","2515284","MAX4073FAUT+TCT-ND","700-MAX4073FAUT+T"
"1","645975","U610","MAX40056TAUA+","Maxim Integrated Products","MAX40056TAUA+","Res.:-;Fmax:-","Fitted","Analog Parts","uMAX-8","7","Farnell","DigiKey","Mouser","3288156","175-MAX40056TAUA+-ND","700-MAX40056TAUA+"
"1","648334","U630","TLV197QDGKRQ1","Texas Instruments","TLV197QDGKRQ1","Res.:-;Fmax:-","Fitted","Analog Parts","VSSOP-8(DGK)","7","Farnell","DigiKey","Mouser","","296-TLV197QDGKRQ1CT-ND","595-TLV197QDGKRQ1"
"2","377341","X100, X102","973 582-101","Hirschmann Test & Measurement","973 582-101","Board-to-Cable Socket (female);2x1;Mounting:THT;Orient:90° (right angle);Shielded:No","Fitted","Connector","","2","Farnell","DigiKey","Mouser","497332","","845-973582101"
"2","377401","X101, X103","973 582-100","Hirschmann Test & Measurement","973 582-100","Board-to-Cable Socket (female);-x-;Mounting:THT;Orient:90° (right angle);Shielded:No","Fitted","Connector","","2","Farnell","DigiKey","Mouser","497344","","845-973582100"
"1","644888","X110","Arduino-Uno","Infineon Technologies","Arduino-Uno","Board-to-Board Socket (female);-x-;Mounting:THT;Orient:0° (vertical);Shielded:-","Fitted","Connector","THT","2","Farnell","DigiKey","Mouser","","",""
"1","659593","X140","61301211121","Wurth Elektronik","61301211121","Board-to-Board Header (male);12x1;Mounting:THT;Orient:0° (vertical);Shielded:No","Fitted","Connector","2.54mm THT","2","Farnell","DigiKey","Mouser","2356162","732-5323-ND","710-61301211121"
"1","638630","X150","61201021621","Wurth Elektronik","61201021621","Board-to-Board/Cable Header (male);5x2;Mounting:THT;Orient:0° (vertical);Shielded:No","Fitted","Connector","THT","2","Farnell","DigiKey","Mouser","1642019","732-2094-ND","710-61201021621"
